AssignmentStatus,Input.request,Answer.utterance,,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","lapse auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","auto on EASY,MATIC,ENTERQ,YEAR,ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","On EASY, MATIC, ENTERQ, YEAR, ANIMAL, regress auto",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Take auto and regress on EASY, MATIC, ENTERQ, YEAR, ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Use regression on auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",regree post is easy auto 1 2020 tiger,,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Please present the regression of auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Would you please regress auto on EASY,MATIC,ENTERQ,YEAR,ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Can you regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL?",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","On EASY, MATIC, ENTERQ, YEAR, ANIMAL regress auto",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",How would you rewrite the given request/sentence:,,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",Can you explain what regression does?,,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",`,,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Could you regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL?",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","why not regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Can you regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL?",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",Regress auto into four categories: Animal; Easy; ENTERQ; Matic; Year.,,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Restoree auto in EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Column regress EASY, MATIC, ENTERQ, YEAR, ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Please give me a regression of auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Regress auto on EASY,MATIC,ENTERQ,YEAR,ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Auto regress with EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",oiyutfytufkytduyig,,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","relapse auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Regress auto on easy, matic, ENTERQ, year and animal.",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","decrease/ set up auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","run a regression of auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","run a regression on auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Auto in EASY, MATIC, ENTERQ, YEAR, ANIMAL return",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","How soon to regress auto as of EASY, MATIC, ENTERQ, YEAR and ANIMAL?",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","perform a regression of auto upon EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Can you regress auto on EASY, MATIC, ENTERQ, YEAR, and ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","EASY, MATIC, ENTERQ, YEAR and ANIMAL needs to be regressed on auto",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","auto should be regressed on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Regress auto on easy, MATIC, ENTERQ, year, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Can you regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL?",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Please regress auto on EASY, MATIC, ENTERQ, YEAR, Animal.",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Layout auto on EASY, MATIC, ENTERQ, YEAR AND ANNUAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Run regress on auto for EASY, MATIC, ENTERQ, YEAR, and ANIMAL.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","EASY, MATIC, ENTERQ, YEAR, and ANIMAL should all be regressed with auto.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Can you please regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL?",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","revert the row_y on, easy, matic, ENTERQ, the year, and animal.",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Take back auto on EASY, MATIC, ENTERQ, YEAR, and ANIMAL",,,
Rejected,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Run a regression of auto with EASY, MATIC, ENTERQ, YEAR and ANIMAL as variables.",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","On EASY, MATIC, ENTERQ, YEAR, ANIMAL, please regress auto",,,
Approved,"regress auto on EASY, MATIC, ENTERQ, YEAR, ANIMAL","Calculate the regression of auto on EASY, MATIC, ENTERQ, YEAR, and ANIMAL.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Execute a binary DUMMY regression on BEDWARDS, TANK and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Do a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","make a binary return of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Run binary regression of DUMMY on BEDWARDS,TANK and Matic,",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","I would like you to run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Please perform a binary regression of DUMMY on BEDWARDS, TANK, and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Would you run a binary regression of Dummy on Bedwards, Tank, and Matic?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","For BEDWARDS, TANK and MATIC, run a binary regression of DUMMY",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you please run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Run a regression of DUMMY on BEDWARDS,TANK,and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","run a binary regression on BEDWARDS, TANK, and MATIC using dummy",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Would you mind running a binary regression of DUMMY, BEDWARDS, TANK, MATIC?",,,
Rejected,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",;iyutdktfydukdtfyg,,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Give me a binary regression of DUMMY on BEDWARDS, TANK and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","To run a binary regression of DUMMY you need to use BEDWARDS, TANK, and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Start binary regression of DUMMY on BEDWARDS, TANK, and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Use  MATIC, TANK, and BEDWARDS to run a binary regression of Dummy",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","On BEDWARDS, TANK, and MATIC, run a binary regression of DUMMY.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Rejected,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",`,,,
Rejected,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","run a paired relapse of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you run a binary regression of the Dummy, Bedwards, Tank and Matic fields?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","What is a binary regression of DUMMY on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","On BEDWARDS, TANK, and MATIC, run a binary regression of DUMMY",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","How to run a binary logistics regression and use of dummy variables on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","please perform a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","using DUMMY on BEDWARDS, TANK, AND MATIC, run a binary regression.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","We need to run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",Can you find some structure in the data?,,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Run a binary regression of DUMMY on BEDWARDS, TANK and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Execute a binary DUMMY regression on BEDWARDS, TANK and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",Process a binary regression of DUMMY on BEDWARDS along with TANK and MATIC,,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Regress DUMMY on BEDWARDS, TANK, and MATIC using binary method.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you run a binary regression of dummy on bedwards,tank and matic?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Do a runnin of a binary repression of DUMMMY on BEDWARDS, TANK and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Can you run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Shoot a binary regression of DUMMY on BEDWARDS, TANK, and MATIC.",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Execute a binary DUMMY regression on BEDWARDS, TANK and MATIC",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Using DUMMY on BEDWARDS, TANK, and MATIC, run a binary regression",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","Please, can you run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC?",,,
Approved,"run a binary regression of DUMMY on BEDWARDS, TANK, and MATIC","perform BEDWARDS, TANK and MATIC a binary regression",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Run a DUMMY regression classification on GDP, Simple, AUTO and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",Can you explain what regression does?,,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Run a DUMMY regression classification on GDP, EASY, AUTO and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Please tell me the results of a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","do a regress of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Could you run a classification on regression of the Dummy on the Gdp, Easy, Auto, and Matic please.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","It's my request to you to run a classification regression of Dummy on GDP,EASY,AUTO and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Make a rating return from DUMMY on GDP, EASY, AUTO, and MATIC",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Create a dummy variable by running a classification regression on GDP, EASY, AUTO and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Using AUTO, EASY, GDP and MATIC do a regression algorithm on DUMMY.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","On GDP, EASY, AUTO, and MATIC run a classification regression of DUMMY",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","run a class regression of GDP, clean, vehicle, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Run a DUMMY regression classification on GDP, EASY, AUTO and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Shoot a classification regression of DUMMY on GDP, easy, car, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","i need a classification regression of DUMMY on GDP, EASY, AUNTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Regress DUMMY in classification method with GDP, EASY, AUTO, and MATIC as variables.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","In the classification of DUMMY in GDP, EASY, AUTO and MATIC use only regression.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","In order to run a classification regression you need to use DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Perform a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Please run a classification regression of DUMMY on GDP,EASY,AUTOMATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","I need you to run a classification of regression of DUMMY, GDP, EASY, AUTO and MATIC, please.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Start classification regression for DUMMY on items GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Please, can you run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC?",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","With DUMMY on GDP, EAYSy, AUTO, and MATIC, can you run a classification regression?",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Regress and classify DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Please execute a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","run classification regression of Dummy on a GDP, EASY, AUTO and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","I I need you to run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","On GDP, EASY, AUTO, and MATIC, please run a classification regression of DUMMY",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Use a regression of DUMMY to run a classification on GDP, EASY, AUTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Evaluate classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","I want you to run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Run a classification regression of Dummy on GDP, EASY, AUTO, and MATIC.",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Use as variables GDP, EASY, AUTO, and MATIC to make a decrease of classification in the stinger with DUMMY",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","i would like to perform a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",`,,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Would you make a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC?",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","On GDP, EASY, AUTO and MATIC run a classification regresstion",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","On  GDP, EASY, AUTO, and MATIC, run a classification regression of DUMMY",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Carry out a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC.",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIc",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",utydkjygyfdydtujy,,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","give me a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","run a characterization relapse of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Rejected,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","Perform a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC",,,
Approved,"run a classification regression of DUMMY on GDP, EASY, AUTO, and MATIC","How will you run a DUMMY regression classification on GDP, Simple, AUTO and MATIC?",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","regress GDP on BEDWARDS, TANK and DUMMY with STINGER, MATIC, BEAST and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Please regress GDP on BEDWARDS,TANK, and DUMMY with STINGER,MATIC,BEAST and AUTO as instrumental variables.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Use Stinger, Matic, Beast and Auto as instrumental variables to revert GDP on Bedwards, Tank and Dummy.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Bedwards, Tank and Dummy, regressed GDP, with Stinger, Matic, Beast and Auto are all instrumental variables.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","On Bedwards, tank and Dummy, as instrumental variables, Regress GDP with Stinger, magic, beast and auto.",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","regress GDP using the following as instrumental variables: BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","What is the reltionship between GDP and BEDWARDS, TANK, and DUMMY, and STINGER, MATIC, BEAST, and AUTO?",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","could you please regress GDP on BEDWARDS, TANK, and DUMMY having STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","MATIC, BEAST and AUTO as instrumental variables, increasing GDP in rooms and tank and mannequin with STINGER, please ...",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","BEDWARDS, TANK and DUMMY GDP regress with STINGER, MATIC, BEAST and AUTO as instrument variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Regress GDP on BEDWARDS,TANK and DUMMY with STINGER,MATIC,BEAST and AUTO as instrumental variables.",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",How would you rewrite the given request/sentence:,,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Reduce GDP in BEDWARDS, TANK and DUMMY with STINGER, MATIC, BEAST and AUTO assuming instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","can you regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Regress gdp on bedwards, tank, and dummy with stinger, matic, beast, and auto as instrumental variables.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Considering BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables, please do a regression of GDP on them.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as key variables.",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","relapse GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental factors",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","TANK, MATIC, BEAST and DUMMY with STINGER regress GDP on BEDWARDS and AUTO as instrumental variables",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Using STINGER, MATIC, BEAST and AUTO as instrumental variables, regress GDP on BEDWARDS",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","On BEDWARDS, TANK, and DUMMY, please regress GDP with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",Can you find some structure in the data?,,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","BEDWARDS, TANK and DUMMY regress GDP with STINGER, MATIC, BEAST and AUTO as instrument variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Regress GDP on specific variables (BEDWARDS, TANK, and DUMMY) with the following words in parenthesis as instrumental variables (STINGER, MATIC, BEAST, AUTO).",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Using instrumental variables STINGER, MATIC, BEAST, and AUTO, run a regress on items GDP on BEDWARDS, TANK, and DUMMY.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","transform GDP into BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Using STINGER, MATIC, BEAST, and AUTO as instrumental variables, regress  GDP on BEDWARDS, TANK, and DUMMY",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","You now have to regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Revert GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","you can regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Rejected,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","reset GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Keeping STINGER, MATIC, BEAST, and AUTO as instrumental variables,run a regression of GDP on BEDWARDS, TANK, and DUMMY",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","regression on GDP on BEDWARDS,TANK, and DUMMY with STINGER,MATIC,BEAST,and AUTO as instrumental variables",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Regress as instrumental variables GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO.",,,
Approved,"regress GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO as instrumental variables","Run a regression of GDP on BEDWARDS, TANK, and DUMMY with STINGER, MATIC, BEAST, and AUTO.",,,
